600516,"285","LG"
600517,"380","LG"
600518,"4010","LG"
600519,"4015","LG"
600520,"4750","LG"
600521,"510W","LG"
600522,"535","LG"
600523,"5550","LG"
600524,"8100","LG"
600525,"8500","LG"
600526,"8550","LG"
600527,"8600","LG"
600528,"8700","LG"
600529,"8800","LG"
600530,"9100","LG"
600531,"9200","LG"
600532,"A7110","LG"
600533,"A7150","LG"
600534,"AD6335","LG"
600535,"AX245","LG"
600536,"AX275","LG"
600537,"AX355","LG"
600538,"AX380","LG"
600539,"AX390","LG"
600540,"AX427","LG"
600541,"AX4270","LG"
600542,"AX4750","LG"
600543,"AX490","LG"
600544,"AX5000","LG"
600545,"AX8600","LG"
600546,"B1300","LG"
600547,"B2000","LG"
600548,"B2050","LG"
600549,"B2060","LG"
600550,"B2070","LG"
600551,"B2100","LG"
600552,"B2150","LG"
600553,"B2250","LG"
600554,"BD5130","LG"
600555,"BD6070","LG"
600556,"BP210","LG"
600557,"BP355","LG"
600558,"BP4270","LG"
600559,"BP5000","LG"
600560,"BP6100","LG"
600561,"BX4170","LG"
600562,"BX6170","LG"
600563,"BX7000","LG"
600564,"C1100","LG"
600565,"C1150","LG"
600566,"C1200","LG"
600567,"C130","LG"
600568,"C1300","LG"
600569,"C1300i","LG"
600570,"C1400","LG"
600571,"C1500","LG"
600572,"C2000","LG"
600573,"C2100","LG"
600574,"C2200","LG"
600575,"C2500","LG"
600576,"C258","LG"
600577,"C260","LG"
600578,"C2600","LG"
600579,"C270","LG"
600580,"C280","LG"
600581,"C3100","LG"
600582,"C320","LG"
600583,"C3300","LG"
600584,"C3310","LG"
600585,"C3320","LG"
600586,"C3380","LG"
600587,"C3400","LG"
600588,"C3600","LG"
600589,"C600","LG"
600590,"C610","LG"
600591,"C620","LG"
600592,"C630","LG"
600593,"C636","LG"
600594,"C650","LG"
600595,"C670","LG"
600596,"C676","LG"
600597,"C686","LG"
600598,"C810","LG"
600599,"C820","LG"
600600,"C910","LG"
600601,"C930","LG"
600602,"C950","LG"
600603,"C960","LG"
600604,"CE110","LG"
600605,"CE200","LG"
600606,"CE500","LG"
600607,"CG180","LG"
600608,"CG225","LG"
600609,"CG300","LG"
600610,"CT810","LG"
600611,"CU320","LG"
600612,"CU400","LG"
600613,"CU405","LG"
600614,"CU500","LG"
600615,"CU515","LG"
600616,"CU575","LG"
600617,"CU6260","LG"
600618,"CU6760","LG"
600619,"CU720","LG"
600620,"CU8080","LG"
600621,"CU8180","LG"
600622,"CU8188","LG"
600623,"CU8280","LG"
600624,"CU8380","LG"
600625,"CU915","LG"
600626,"CU920","LG"
600627,"CX5450","LG"
600628,"DB230","LG"
600629,"DB520","LG"
600630,"DB525","LG"
600631,"DG200","LG"
600632,"DM515H","LG"
600633,"Easy Shot BX5450","LG"
600634,"F1200","LG"
600635,"F2100","LG"
600636,"F2100UAE","LG"
600637,"F2200","LG"
600638,"F2250","LG"
600639,"F2300","LG"
600640,"F2400","LG"
600641,"F2410","LG"
600642,"F2500","LG"
600643,"F3000","LG"
600644,"F7100","LG"
600645,"F7200","LG"
600646,"F7250","LG"
600647,"F9100","LG"
600648,"F9200","LG"
600649,"G1100","LG"
600650,"G1500","LG"
600651,"G1600","LG"
600652,"G1610","LG"
600653,"G1700","LG"
600654,"G210","LG"
600655,"G220","LG"
600656,"G232","LG"
600657,"G233","LG"
600658,"G252","LG"
600659,"G259","LG"
600660,"G262","LG"
600661,"G263","LG"
600662,"G282","LG"
600663,"G3000","LG"
600664,"G3100","LG"
600665,"G4011","LG"
600666,"G4015","LG"
600667,"G4020","LG"
600668,"G4050","LG"
600669,"G510","LG"
600670,"G5200","LG"
600671,"G5220C","LG"
600672,"G5300","LG"
600673,"G5300i","LG"
600674,"G5310","LG"
600675,"G5400","LG"
600676,"G5410","LG"
600677,"G5500","LG"
600678,"G5600","LG"
600679,"G6070","LG"
600680,"G610","LG"
600681,"G622","LG"
600682,"G635","LG"
600683,"G639","LG"
600684,"G650","LG"
600685,"G660","LG"
600686,"G672","LG"
600687,"G677","LG"
600688,"G682","LG"
600689,"G688","LG"
600690,"G692","LG"
600691,"G7000","LG"
600692,"G7020","LG"
600693,"G7030","LG"
600694,"G7050","LG"
600695,"G7070","LG"
600696,"G7100","LG"
600697,"G7110","LG"
600698,"G7120","LG"
600699,"G7200","LG"
600700,"G8000","LG"
600701,"G8000i","LG"
600702,"G822","LG"
600703,"G828","LG"
600704,"G832","LG"
600705,"G850","LG"
600706,"G912","LG"
600707,"G920","LG"
600708,"G922","LG"
600709,"G932","LG"
600710,"G933","LG"
600711,"GC-900","LG"
600712,"GD880","LG"
600713,"GW620","LG"
600714,"KB1500","LG"
600715,"KB936","LG"
600716,"KC1","LG"
600717,"KC560","LG"
600718,"KC910","LG"
600719,"KE260","LG"
600720,"KE360","LG"
600721,"KE500","LG"
600722,"KE508","LG"
600723,"KE520","LG"
600724,"KE590","LG"
600725,"KE600","LG"
600726,"KE600E","LG"
600727,"KE608","LG"
600728,"KE608n","LG"
600729,"KE770","LG"
600730,"KE800","LG"
600731,"KE820","LG"
600732,"KE850","LG"
600733,"KE858","LG"
600734,"KE970","LG"
600735,"KE970s","LG"
600736,"KE990","LG"
600737,"KF240","LG"
600738,"KF350","LG"
600739,"KF600","LG"
600740,"KG108-CMCC","LG"
600741,"KG110","LG"
600742,"KG118","LG"
600743,"KG119","LG"
600744,"KG120","LG"
600745,"KG129_CMCC","LG"
600746,"KG130","LG"
600747,"KG180","LG"
600748,"KG190","LG"
600749,"KG195","LG"
600750,"KG198","LG"
600751,"KG200","LG"
